dec_sense,stb_sense
clerk_1_noun_3,shine_1_noun_1
except_1_verb_1,extend_1_verb_1
refer_1_verb_3,weigh_1_verb_1
alarm_1_verb_1,dance_1_verb_2
concert_1_noun_2,writing_1_noun_1
attend_1_verb_2,impose_1_verb_1
storm_1_noun_4,study_1_noun_3
appeal_1_noun_3,credit_1_noun_3
issue_1_noun_3,glass_1_noun_4
strain_1_noun_3,wonder_1_noun_3
pledge_1_noun_2,leader_1_noun_4
intimate_2_verb_1,exchange_1_verb_1
extent_1_noun_1,effort_1_noun_2
desert_2_noun_2,hunger_1_noun_1
esteem_1_noun_1,change_1_noun_1
flame_1_noun_2,dream_1_noun_1
heart_1_noun_3,paper_1_noun_1
gospel_1_noun_1,summer_2_noun_1
import_1_noun_2,excuse_1_noun_1
priest_1_noun_2,phrase_1_noun_1
merit_1_noun_1,music_1_noun_1
supply_1_verb_2,defeat_1_verb_1
proceed_1_verb_1,deliver_1_verb_1
relate_1_verb_3,object_1_verb_1
observe_1_verb_2,concern_1_verb_2
oath_1_noun_1,idea_1_noun_2
haste_1_noun_1,pause_1_noun_1
sketch_1_noun_1,amount_1_noun_1
faint_1_adjective_2,rare_1_adjective_1
gay_1_adjective_2,same_1_adjective_1
gentleman_1_noun_1,experiment_1_noun_1
material_1_adjective_2,regular_1_adjective_2
bring_1_verb_3,behave_1_verb_1
exhibition_1_noun_2,precedent_1_noun_1
pure_1_adjective_3,small_1_adjective_2
undertake_1_verb_1,describe_1_verb_1
waste_1_noun_3,master_1_noun_3
purity_1_noun_2,bread_1_noun_1
bend_1_verb_3,act_1_verb_2
now_1_adverb_3,here_1_adverb_1
let_2_verb_1,tell_1_verb_1
prospect_1_noun_3,content_1_noun_1
fate_1_noun_1,sky_1_noun_1
fix_1_verb_2,make_1_verb_1
space_1_noun_3,escape_1_noun_2
deed_1_noun_1,boy_1_noun_2
tone_1_noun_1,smoke_1_noun_1
cunning_1_adjective_1,active_1_adjective_2
your_1_possessive determiner_3,her_1_possessive determiner_1
general_1_adjective_2,possible_1_adjective_1
sway_1_noun_2,drama_1_noun_2
instance_1_noun_1,officer_1_noun_2
interval_1_noun_1,admission_1_noun_1
style_1_verb_2,feed_1_verb_1
coarse_1_adjective_2,crooked_1_adjective_1
tread_1_noun_1,bone_1_noun_3
spring_1_verb_1,collect_1_verb_2
extension_1_noun_6,interior_1_noun_1
civil_1_adjective_2,vacant_1_adjective_1
province_1_noun_3,meeting_1_noun_2
