sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
305,390.0,392.0,396,242,260,184,117
225,117.0,332.0,296,374,118,79,173
43,195.0,128.0,253,91,181,70,211
382,284.0,362.0,395,289,7,269,43
196,384.0,322.0,292,270,215,134,59
319,139.0,131.0,41,293,16,165,15
347,302.0,360.0,389,77,51,189,114
171,206.0,250.0,47,346,255,9,333
394,338.0,77.0,49,236,253,285,176
289,102.0,404.0,295,287,139,186,27
92,22.0,385.0,385,380,233,61,72
146,29.0,27.0,55,85,143,43,97
224,135.0,71.0,370,335,105,265,86
363,218.0,222.0,88,15,247,228,261
166,202.0,221.0,92,291,373,339,202
396,72.0,343.0,215,247,226,271,398
330,55.0,96.0,118,338,332,298,330
236,234.0,269.0,214,379,160,253,290
238,138.0,135.0,120,395,277,286,294
325,315.0,299.0,122,305,120,161,33
50,,303.0,308,331,228,229,11
300,,193.0,126,108,70,329,283
214,,122.0,314,34,271,325,129
227,,245.0,136,94,52,239,54
154,,163.0,137,165,57,80,351
302,,143.0,315,33,375,207,200
256,,296.0,346,227,397,392,53
12,,277.0,143,256,217,261,236
320,,217.0,317,285,295,369,82
35,,358.0,343,403,318,332,113
202,,240.0,146,308,39,164,10
133,,184.0,341,41,50,230,302
69,,215.0,190,123,241,162,24
137,,346.0,336,363,344,338,400
262,,365.0,161,22,286,38,190
400,,329.0,168,205,121,343,195
178,,241.0,330,176,197,267,118
340,,174.0,117,169,156,289,201
389,,95.0,135,320,5,173,265
103,,120.0,99,150,109,41,154
267,,323.0,361,95,384,337,323
309,,257.0,303,16,353,174,12
61,,408.0,96,10,263,403,23
380,,252.0,373,173,192,353,29
91,,56.0,32,297,377,122,350
65,,52.0,257,180,402,198,131
148,,,30,68,280,407,159
231,,,372,244,327,114,141
3,,,259,122,339,106,239
254,,,82,60,158,268,36
199,,,318,75,134,58,171
89,,,21,347,278,308,287
57,,,353,83,11,1,155
282,,,374,303,206,393,275
44,,,337,269,161,217,145
306,,,332,159,359,354,405
129,,,267,324,219,50,284
397,,,160,115,346,163,90
212,,,14,104,91,357,267
375,,,407,178,171,21,358
59,,,184,171,153,210,156
203,,,164,408,345,188,79
230,,,273,210,288,244,388
78,,,329,351,252,13,231
331,,,404,254,390,323,337
297,,,256,230,360,115,306
102,,,211,135,106,283,262
112,,,127,310,67,376,99
240,,,217,3,312,408,198
317,,,61,336,1,232,395
165,,,67,284,63,146,371
218,,,383,224,331,304,213
24,,,357,167,238,373,58
47,,,360,322,362,240,382
190,,,250,267,352,139,264
179,,,124,78,342,62,335
14,,,388,112,163,192,224
249,,,140,143,387,63,244
170,,,362,211,193,127,225
318,,,95,288,114,200,19
197,,,294,45,152,252,411
251,,,43,32,86,250,379
200,,,232,239,140,349,299
168,,,325,376,404,177,42
388,,,375,366,329,293,216
246,,,174,218,142,412,8
344,,,229,174,136,17,205
207,,,240,349,410,28,175
58,,,365,384,66,360,252
117,,,366,263,240,365,309
265,,,162,27,204,294,367
45,,,86,20,84,32,282
25,,,115,390,17,330,125
402,,,230,252,187,266,250
301,,,50,203,356,366,112
104,,,376,276,170,303,76
182,,,151,102,222,95,285
181,,,252,126,354,370,57
185,,,219,147,268,270,342
348,,,408,146,48,331,89
321,,,293,61,37,65,363
345,,,339,137,316,257,403
383,,,56,139,191,383,300
46,,,323,383,74,56,25
